OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Op Type,Batch,Seq Len,Num Heads,Num KV Heads,Head Size
dynamic,AI_CORE,"1,8,128;64,128,128;64,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,59.79,attention_generation,1,8192,8,1,128
dynamic,AI_CORE,"1,8,128;64,128,512;64,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,64.50,attention_generation,1,8192,8,4,128
dynamic,AI_CORE,"1,8,128;64,128,1024;64,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,63.33,attention_generation,1,8192,8,8,128
dynamic,AI_CORE,"1,16,128;64,128,2048;64,128,2048",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,80.16,attention_generation,1,8192,16,0,128
dynamic,AI_CORE,"1,16,128;64,128,128;64,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,60.68,attention_generation,1,8192,16,1,128
dynamic,AI_CORE,"1,16,128;64,128,512;64,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,64.36,attention_generation,1,8192,16,4,128
dynamic,AI_CORE,"1,16,128;64,128,1024;64,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,74.60,attention_generation,1,8192,16,8,128
dynamic,AI_CORE,"1,32,128;64,128,4096;64,128,4096",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,105.83,attention_generation,1,8192,32,0,128
dynamic,AI_CORE,"1,32,128;64,128,128;64,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,59.90,attention_generation,1,8192,32,1,128
dynamic,AI_CORE,"1,32,128;64,128,512;64,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,66.28,attention_generation,1,8192,32,4,128
dynamic,AI_CORE,"1,32,128;64,128,1024;64,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,75.22,attention_generation,1,8192,32,8,128
dynamic,AI_CORE,"1,40,128;64,128,5120;64,128,5120",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,115.68,attention_generation,1,8192,40,0,128
dynamic,AI_CORE,"1,40,128;64,128,128;64,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,57.30,attention_generation,1,8192,40,1,128
